date,region,B.1.1.7,Other
2020-10-01,East of England,0,40.6306139255727
2020-10-01,London,0.600387275451679,77.6942577049827
2020-10-01,Midlands,0,97.2414356628838
2020-10-01,North East and Yorkshire,0,400.924718535256
2020-10-01,North West,0,148.176481915602
2020-10-01,South East,0,28.7609180079328
2020-10-01,South West,0,17.723313054882
2020-10-02,East of England,0,1.80460936911859
2020-10-02,London,0,7.58302560138605
2020-10-02,Midlands,0,13.3049392427785
2020-10-02,North East and Yorkshire,0,181.5269628429
2020-10-02,North West,0,99.9328981701169
2020-10-02,South East,0,0.6411942509007
2020-10-02,South West,0,2.37932389718845
2020-10-03,East of England,0,29.8132810860835
2020-10-03,London,0,64.8037565571667
2020-10-03,Midlands,0,28.3382476249513
2020-10-03,North East and Yorkshire,0,69.4701627591588
2020-10-03,North West,0,21.6049850462343
2020-10-03,South East,0,32.5574292713287
2020-10-03,South West,0,52.1179719261095
2020-10-04,East of England,0,9.63614406530707
2020-10-04,London,0,21.9153245045405
2020-10-04,Midlands,0,32.5046012670033
2020-10-04,North East and Yorkshire,0,43.6594035655807
2020-10-04,North West,0,27.1361458571895
2020-10-04,South East,0,9.7982964373158
2020-10-04,South West,0,4.98325834866497
2020-10-05,East of England,0,22.3611427669976
2020-10-05,London,0,43.8915615486364
2020-10-05,Midlands,0,251.440891118124
2020-10-05,North East and Yorkshire,0,323.566342994609
2020-10-05,North West,0,338.535421049957
2020-10-05,South East,0,42.8287311252949
2020-10-05,South West,0,48.0845843332841
2020-10-06,East of England,0,51.6548499183444
2020-10-06,London,0,85.2351506014311
2020-10-06,Midlands,0,151.471393672018
2020-10-06,North East and Yorkshire,0,156.166900984875
2020-10-06,North West,0,307.825836274773
2020-10-06,South East,0,89.564073988291
2020-10-06,South West,0,55.3218048241522
2020-10-07,East of England,0,1.9128568463873
2020-10-07,London,0,12.8049751453155
2020-10-07,Midlands,0,129.08503901511
2020-10-07,North East and Yorkshire,0,404.895875970042
2020-10-07,North West,0,309.758836835297
2020-10-07,South East,0,6.48190370180383
2020-10-07,South West,0,8.19035197075487
2020-10-08,East of England,0,7.37085974237425
2020-10-08,London,0.554846363758024,12.1786780579194
2020-10-08,Midlands,0,49.1889872648656
2020-10-08,North East and Yorkshire,0,68.9878493993654
2020-10-08,North West,0,144.69618921324
2020-10-08,South East,0,21.4566359138918
2020-10-08,South West,0,16.0962272763216
2020-10-09,East of England,0,14.9545578368214
2020-10-09,London,0,29.2524368993435
2020-10-09,Midlands,0,78.9182081600908
2020-10-09,North East and Yorkshire,0,88.2547246562159
2020-10-09,North West,0,106.529699079119
2020-10-09,South East,0,13.8234332228296
2020-10-09,South West,0,17.8374168307502
2020-10-10,East of England,0,6.16749491557001
2020-10-10,London,0,7.0513287587012
2020-10-10,Midlands,0,27.0148847962704
2020-10-10,North East and Yorkshire,0,48.9184885325385
2020-10-10,North West,0,62.368780450217
2020-10-10,South East,0,6.31519067891085
2020-10-10,South West,0,31.726091345255
2020-10-11,East of England,0,60.4309272068191
2020-10-11,London,0,50.2561027213271
2020-10-11,Midlands,0,37.1225902890668
2020-10-11,North East and Yorkshire,0,27.9500546411134
2020-10-11,North West,0,58.8122731421756
2020-10-11,South East,2.27057294486382,77.5795967534055
2020-10-11,South West,0,49.0488773341149
2020-10-12,East of England,0,7.46362415352237
2020-10-12,London,0,38.0751304026266
2020-10-12,Midlands,0,197.806600769955
2020-10-12,North East and Yorkshire,0,267.000886569208
2020-10-12,North West,0,538.364057623437
2020-10-12,South East,0,12.2237128112592
2020-10-12,South West,0,15.8311232201692
2020-10-13,East of England,0,27.9886781287468
2020-10-13,London,0,67.0594806493834
2020-10-13,Midlands,0,26.7578727264252
2020-10-13,North East and Yorkshire,0,54.9482819955596
2020-10-13,North West,0,46.1538969774716
2020-10-13,South East,0,65.016522054508
2020-10-13,South West,0,25.4933862795488
2020-10-14,East of England,0,22.0043320413998
2020-10-14,London,0,27.4474109803817
2020-10-14,Midlands,0,130.125303216829
2020-10-14,North East and Yorkshire,0,203.780549006435
2020-10-14,North West,0,266.285203017366
2020-10-14,South East,0,22.3000580019901
2020-10-14,South West,0,7.90658725769976
2020-10-15,East of England,0,79.8617110127739
2020-10-15,London,0,232.676916586932
2020-10-15,Midlands,0,134.036557322023
2020-10-15,North East and Yorkshire,0,285.115908318348
2020-10-15,North West,0,426.493469165657
2020-10-15,South East,1.5512777915653,95.8963156791272
2020-10-15,South West,0,3.53559045185834
2020-10-16,East of England,0,20.1685674965369
2020-10-16,London,0,44.9814163281807
2020-10-16,Midlands,0,97.445825040064
2020-10-16,North East and Yorkshire,0,38.9021741488751
2020-10-16,North West,0,204.423820099243
2020-10-16,South East,0,23.3050339863089
2020-10-16,South West,0,12.9660403437463
2020-10-17,East of England,0,0.442935619915326
2020-10-17,London,0,4.70357650148181
2020-10-17,Midlands,0,60.804721610283
2020-10-17,North East and Yorkshire,0,158.96782386416
2020-10-17,North West,0,278.438160932342
2020-10-17,South East,0,0.917142551586829
2020-10-17,South West,0,1.38826092571418
2020-10-18,East of England,0,1.33942252169985
2020-10-18,London,0,2.98929610305672
2020-10-18,Midlands,0,13.2536357836415
2020-10-18,North East and Yorkshire,0,89.5744641995217
2020-10-18,North West,0,69.136086632829
2020-10-19,East of England,0,21.1457093763864
2020-10-19,London,0,28.6817016092572
2020-10-19,Midlands,0,164.667172022753
2020-10-19,North East and Yorkshire,0,177.910160900527
2020-10-19,North West,0,250.364353668646
2020-10-19,South East,0,15.7383183542556
2020-10-19,South West,0,5.86719415077069
2020-10-20,East of England,0,17.5950519541752
2020-10-20,London,0,42.7466373104018
2020-10-20,Midlands,0,128.135019264643
2020-10-20,North East and Yorkshire,0,347.81291856924
2020-10-20,North West,0,210.729855406667
2020-10-20,South East,0,18.7228344847659
2020-10-20,South West,0,19.8704287540852
2020-10-21,East of England,1.84537580083785,134.204083803252
2020-10-21,London,1.83901268116707,422.08244725178
2020-10-21,Midlands,0,345.496752400822
2020-10-21,North East and Yorkshire,0,230.072843807194
2020-10-21,North West,0,256.678312036816
2020-10-21,South East,8.9191743396805,202.046562318714
2020-10-21,South West,0,57.8247846769693
2020-10-22,East of England,0,68.2325775856864
2020-10-22,London,0.556261764281355,137.360488461972
2020-10-22,Midlands,0,276.683775288169
2020-10-22,North East and Yorkshire,0,391.629211045606
2020-10-22,North West,0,432.501814227072
2020-10-22,South East,5.20566111130817,94.3936651834479
2020-10-22,South West,0,86.8320050010413
2020-10-23,East of England,0,46.9550455958075
2020-10-23,London,0.525721462343266,54.985402655086
2020-10-23,Midlands,0,90.6503345705165
2020-10-23,North East and Yorkshire,0,170.327859341151
2020-10-23,North West,0,48.3731902523338
2020-10-23,South East,5.73037787266841,59.9849777891562
2020-10-23,South West,0,9.45620833867105
2020-10-24,East of England,0,25.2414396609087
2020-10-24,London,0.737489329538523,100.508681564035
2020-10-24,Midlands,0,61.2290810513308
2020-10-24,North East and Yorkshire,0,67.537787519563
2020-10-24,North West,0,57.7211192928804
2020-10-24,South East,2.06461893731285,70.4299953774684
2020-10-24,South West,0,184.60023652178
2020-10-25,East of England,0,8.27295938955671
2020-10-25,London,0.601820359219186,14.08184829976
2020-10-25,Midlands,0,38.4674971971869
2020-10-25,North East and Yorkshire,0,48.9683243472305
2020-10-25,North West,0,47.8193519687206
2020-10-25,South East,0,17.0949152615635
2020-10-25,South West,0,10.3130933317604
2020-10-26,East of England,0,6.19797934932275
2020-10-26,London,0,9.59043027168374
2020-10-26,Midlands,0.542385485096786,226.247731632623
2020-10-26,North East and Yorkshire,0,303.730563188177
2020-10-26,North West,0,184.724066508694
2020-10-26,South East,0.537149125695353,25.0337342959196
2020-10-26,South West,0,61.5774982566969
2020-10-27,East of England,0,1.72757591439191
2020-10-27,London,0,6.53020158826728
2020-10-27,Midlands,0,14.630717026462
2020-10-27,North East and Yorkshire,0,99.1636959254525
2020-10-27,North West,0,189.685503746084
2020-10-27,South East,0,3.56665687313599
2020-10-27,South West,0,17.7781549875304
2020-10-28,East of England,0,1.73051893631141
2020-10-28,London,0,1.04912220892179
2020-10-28,Midlands,0,18.0577762965585
2020-10-28,North East and Yorkshire,0,30.1441789172694
2020-10-28,North West,0,11.7572503594772
2020-10-28,South West,0,7.73966504752694
2020-10-29,East of England,0.999975820040651,21.8674412671337
2020-10-29,London,1.87152280994709,102.986092980325
2020-10-29,Midlands,0,314.945451293842
2020-10-29,North East and Yorkshire,0,114.551102041732
2020-10-29,North West,0,33.6561024544445
2020-10-29,South East,7.64641041859782,108.805478961746
2020-10-29,South West,0,20.836311509247
2020-10-30,East of England,0.369491579753465,78.8384758331715
2020-10-30,London,1.1681197504038,38.691960227291
2020-10-30,Midlands,0,174.284065672269
2020-10-30,North East and Yorkshire,0.76934454061284,434.99801643239
2020-10-30,North West,0,23.2016680614611
2020-10-30,South East,0.830826761196619,45.1180694243228
2020-10-30,South West,0,1.62692264747721
2020-10-31,East of England,0.618909797281389,44.5222461553696
2020-10-31,London,1.26277563477574,18.8846474995326
2020-10-31,Midlands,0,37.1085680181055
2020-10-31,North East and Yorkshire,0,40.7954823261242
2020-10-31,North West,0,93.658417773944
2020-10-31,South East,1.45145399423151,13.2592786655191
2020-10-31,South West,0,8.85164077644024
2020-11-01,East of England,0.582978975786201,85.5256323038
2020-11-01,London,7.0365183068286,116.717166307294
2020-11-01,Midlands,1.02687053882785,228.954955565285
2020-11-01,North East and Yorkshire,0,124.545662653218
2020-11-01,North West,0,591.089190148356
2020-11-01,South East,15.2310908052073,92.7406109331805
2020-11-01,South West,0,119.864189255274
2020-11-02,East of England,4.73209420214529,125.85446773402
2020-11-02,London,7.08587171880002,176.396342300457
2020-11-02,Midlands,1.00571329754318,255.767574404866
2020-11-02,North East and Yorkshire,0,908.567073429965
2020-11-02,North West,1.30147459634468,230.999673068248
2020-11-02,South East,13.4966902362457,73.1379916301117
2020-11-02,South West,0,104.427550685075
2020-11-03,East of England,1.72236447148321,40.6235788251874
2020-11-03,London,0,21.2791281553109
2020-11-03,Midlands,0,45.7587818044324
2020-11-03,North East and Yorkshire,0,260.076449854442
2020-11-03,North West,0,76.115254053174
2020-11-03,South East,1.61630086710631,12.8408844119581
2020-11-03,South West,0.60356227966589,27.4728725647161
2020-11-04,East of England,0,2.10907460918036
2020-11-04,London,0.619580140923981,7.91909513646501
2020-11-04,Midlands,0,142.99896980371
2020-11-04,North East and Yorkshire,0,521.740915436169
2020-11-04,North West,0,292.154714608262
2020-11-04,South East,0,14.1999486279138
2020-11-04,South West,0,1.64664695135053
2020-11-05,East of England,2.2974153022223,149.771947256431
2020-11-05,London,13.4895944522838,217.036962397546
2020-11-05,Midlands,2.12559175028695,536.895192943111
2020-11-05,North East and Yorkshire,0,15.7427421608953
2020-11-05,North West,0,7.28284894239639
2020-11-05,South East,26.7433998875507,189.193319305129
2020-11-05,South West,0,5.8994007940013
2020-11-06,East of England,3.14744559382941,49.2527671326219
2020-11-06,London,1.44322639552139,63.6828962173899
2020-11-06,Midlands,1.48566716846455,246.816408720295
2020-11-06,North East and Yorkshire,0,40.9181829750759
2020-11-06,North West,0,68.610025865704
2020-11-06,South East,13.4318537716015,103.199246289291
2020-11-06,South West,0,1.96976096493053
2020-11-07,East of England,0,0.967889275849147
2020-11-07,London,0,1.90754136225329
2020-11-07,Midlands,0,23.7691106450611
2020-11-07,North East and Yorkshire,0,12.7733300469254
2020-11-07,North West,0,559.333788501948
2020-11-07,South West,0,4.7333848680738
2020-11-08,East of England,6.98726418554989,120.83233585127
2020-11-08,London,16.0005203049405,218.317431057685
2020-11-08,Midlands,4.4822742932551,342.383378555529
2020-11-08,North East and Yorkshire,0,432.698359597307
2020-11-08,North West,0.759626453907473,172.475693718226
2020-11-08,South East,42.7247931216715,144.731478203009
2020-11-08,South West,0,25.5838555099702
2020-11-09,East of England,5.57913357698596,47.7037081521338
2020-11-09,London,6.07826496398544,66.1603634269703
2020-11-09,Midlands,4.72454831585421,161.753158040499
2020-11-09,North East and Yorkshire,0,21.0689823455066
2020-11-09,North West,0.855000077038828,321.286452254256
2020-11-09,South East,8.29886397646476,35.5757101297379
2020-11-09,South West,0,25.5011432471827
2020-11-10,East of England,0,5.38875636859409
2020-11-10,London,0.975137902314915,9.11388778661718
2020-11-10,Midlands,1.89125638987138,62.226723204788
2020-11-10,North East and Yorkshire,0,62.3213164480794
2020-11-10,North West,0,156.849225982059
2020-11-10,South East,6.43670958466739,4.1922983516507
2020-11-10,South West,0,26.9162619372356
2020-11-11,East of England,3.66644437445832,12.1787658491151
2020-11-11,London,4.30755176145814,11.8562097833968
2020-11-11,Midlands,5.29800812069644,48.0686831681251
2020-11-11,North East and Yorkshire,1.27571890197902,845.944779821423
2020-11-11,North West,0,22.5587897710386
2020-11-11,South East,12.26748303249,12.8687930428755
2020-11-12,East of England,18.5632641143488,71.9897589381454
2020-11-12,London,11.7936392108426,83.2999472411068
2020-11-12,Midlands,7.06752936373974,208.567056393911
2020-11-12,North East and Yorkshire,0,29.6486882025722
2020-11-12,North West,0.75402187043664,503.477624425071
2020-11-12,South East,49.0450794833475,133.164131066542
2020-11-12,South West,6.21060458366605,286.390185332302
2020-11-13,East of England,15.461160689529,84.2621438857916
2020-11-13,London,35.4999105326008,241.388305624514
2020-11-13,Midlands,2.67353020314598,752.825537434681
2020-11-13,North East and Yorkshire,0,45.4155074141602
2020-11-13,North West,0,30.4797573709232
2020-11-13,South East,58.2855771008239,155.165692584182
2020-11-13,South West,2.48785060534001,22.0604276890025
2020-11-14,East of England,7.01874761068422,76.8483413620723
2020-11-14,London,24.1298909492323,113.476384232536
2020-11-14,Midlands,1.81032031518542,485.303378433741
2020-11-14,North East and Yorkshire,3.04888618913105,597.275728609994
2020-11-14,North West,1.24269730023051,46.2323386381622
2020-11-14,South East,33.5245347988359,164.84220583399
2020-11-14,South West,11.2626103005453,234.266869200947
2020-11-15,East of England,13.144291053129,84.0667141004352
2020-11-15,London,13.3962894482962,106.447586984728
2020-11-15,Midlands,1.31514509375154,320.056054213487
2020-11-15,North East and Yorkshire,0,9.47307187464864
2020-11-15,North West,1.1373110087474,145.576248084459
2020-11-15,South East,32.617570008973,25.0055537961005
2020-11-16,East of England,0.611449903548192,2.42582809549884
2020-11-16,London,0.594548036295641,1.41933707714054
2020-11-16,Midlands,0,5.3730924501613
2020-11-16,North East and Yorkshire,0,1.20324513657489
2020-11-16,South East,0,1.94446793668393
2020-11-16,South West,0,3.28055454877222
2020-11-17,East of England,6.89410530883112,33.5248098921126
2020-11-17,London,14.9898927055932,74.7004035983649
2020-11-17,Midlands,2.33864692228724,398.719287717713
2020-11-17,North East and Yorkshire,0,2.77130106701763
2020-11-17,South East,35.1428098678251,30.8550903499763
2020-11-17,South West,0,11.0517379823417
2020-11-18,East of England,9.37286581150614,52.6717521390388
2020-11-18,London,16.4805511048701,56.742097470893
2020-11-18,Midlands,6.51878974568012,601.927402902602
2020-11-18,North East and Yorkshire,2.56985346113732,618.104058526928
2020-11-18,North West,0,9.12978888212844
2020-11-18,South East,29.0949245411763,92.5416185483645
2020-11-18,South West,2.2043169214041,39.5612027037181
2020-11-19,East of England,10.6456172746768,23.0077934131551
2020-11-19,London,23.4562034078782,57.5931301542642
2020-11-19,Midlands,0,35.480900817374
2020-11-19,North East and Yorkshire,0,21.4975763909338
2020-11-19,North West,0,0.981013860830589
2020-11-19,South East,14.5890726958056,60.2009223191972
2020-11-19,South West,0,13.274531655461
2020-11-20,East of England,4.85995321458311,38.439766233977
2020-11-20,London,2.91746302238278,10.58645394441
2020-11-20,Midlands,7.92929549298429,181.194303639007
2020-11-20,North East and Yorkshire,0,86.5242292765018
2020-11-20,North West,0,167.604831813872
2020-11-20,South East,6.15012969921425,44.1797998970072
2020-11-20,South West,3.32719884327666,123.166564097497
2020-11-21,East of England,26.6050491148423,52.3219303050368
2020-11-21,London,18.2050807089297,55.1464411616001
2020-11-21,Midlands,0,35.5408858611363
2020-11-21,North East and Yorkshire,0,61.5682044483051
2020-11-21,North West,2.46609492919597,187.174490420082
2020-11-21,South East,43.5472123004847,45.0285630681641
2020-11-21,South West,0,73.7267586900778
2020-11-22,East of England,35.2922602980029,81.8809929920469
2020-11-22,London,43.2568685966377,107.197124192319
2020-11-22,Midlands,0,55.2629312580275
2020-11-22,North East and Yorkshire,0,82.111144121645
2020-11-22,North West,0,255.651147291202
2020-11-22,South East,106.903743852472,75.7533473440159
2020-11-22,South West,13.3056109281533,199.141305468086
2020-11-23,East of England,10.0974306398076,33.0992876514763
2020-11-23,London,0.838573929367325,0.664178018349836
2020-11-23,Midlands,1.83469059398561,78.8767963304885
2020-11-23,North East and Yorkshire,0,7.32809023797242
2020-11-23,North West,3.44429061037012,376.033508347841
2020-11-23,South East,0,13.5567851222445
2020-11-23,South West,0,4.65631819714969
2020-11-24,East of England,0,2.41526100805153
2020-11-24,London,0.504381750322932,4.3475548938213
2020-11-24,Midlands,1.10013262761684,42.6404232725004
2020-11-24,North East and Yorkshire,0,3.43918170103833
2020-11-24,North West,0,1.56926083626146
2020-11-24,South East,1.43762139660275,12.3813479692298
2020-11-25,East of England,0,8.15535819811074
2020-11-25,Midlands,0,26.9363073307502
2020-11-25,North East and Yorkshire,1.86464958765839,228.465226545455
2020-11-25,North West,0,7.96631400900029
2020-11-25,South East,2.02350341067209,1.58203319773961
2020-11-26,East of England,3.6135456871992,13.9652722761684
2020-11-26,London,19.6996775203607,36.8810039233556
2020-11-26,Midlands,2.81209066641267,25.9340792487974
2020-11-26,North East and Yorkshire,3.90648106203917,187.962564644805
2020-11-26,North West,0,0.460912925588995
2020-11-26,South East,38.3756721425779,15.6563757258942
2020-11-27,East of England,7.89687840603529,35.2733405852271
2020-11-27,London,18.5149276523765,32.7002815077539
2020-11-27,Midlands,1.029052733746,80.33932842068
2020-11-27,North East and Yorkshire,3.39497030528525,152.19921132257
2020-11-27,North West,0,15.334389025657
2020-11-27,South East,36.1647679949011,7.06939607664503
2020-11-28,East of England,8.72177074758314,19.124467961321
2020-11-28,London,10.6452449581276,10.1912242757459
2020-11-28,Midlands,0,6.10031384282329
2020-11-28,South East,43.540395472965,26.3278465840282
2020-11-28,South West,5.05985885646925,0
2020-11-29,East of England,6.39947200487882,15.5414148239623
2020-11-29,London,7.92448814876346,6.48568697401943
2020-11-29,Midlands,0,18.4058159629179
2020-11-29,North East and Yorkshire,0,0.833802533047943
2020-11-29,South East,33.3571061755041,23.1896454734755
2020-11-30,East of England,0,2.56794216797829
2020-11-30,London,4.05697452591649,16.2205029468655
2020-11-30,Midlands,0,5.45469158468283
2020-11-30,North East and Yorkshire,1.21604426581349,26.4348204824057
2020-11-30,North West,0,0.633619825873333
2020-11-30,South East,21.6422160951955,5.38051678437849
2020-12-01,East of England,10.4669078854007,31.1301176784362
2020-12-01,London,10.3493218709467,39.8887111086069
2020-12-01,Midlands,2.05436097223426,9.2787959564392
2020-12-01,North West,0.55187143699145,10.7173428153196
2020-12-01,South East,33.6793521543098,15.6251339851596
2020-12-01,South West,0,3.71727989927691
2020-12-02,East of England,7.74474359045716,8.12660876052159
2020-12-02,London,11.7716633874045,23.7231812556004
2020-12-02,Midlands,12.4825242929838,86.2369845684636
